Number of Instances,Number of Features,Number of Targets,Silhouette coefficient,Imbalance coefficient,Number of binary features,Majority class size,Minority class size,Dataset,Cluster
223,227,6,-0.0189750174428549,0.94457338399378,223,55,14,lifeexpectancy_last,4
10000,249,5,-0.12707976131264426,0.8841223475005098,0,3859,297,activityrecog_last,1
10000,16,26,0.008217458226409152,0.9997849497792244,0,422,361,letter_last,1
5627,61,6,0.009889087469777944,0.2682315806775881,0,5024,25,unbalanced5627-61-6_last,0
10000,16,6,-0.015097371094304462,0.9511838577244104,1,2442,927,motionsense_last,1
8848,86,2,0.9834897601527464,1.0,0,4424,4424,g8848-86-2_last,5
1885,136,7,0.047091950071712865,0.7253771124178352,125,1021,21,ecstasy_last,3
10000,1497,3,-0.008117472764514154,0.8625856102559631,1480,5366,1128,diabetics_last,1
1481,34,2,0.015530386801877268,0.8482883634031653,1,1074,407,seed_last,3
690,589,2,0.17442578261014138,0.991230898903352,585,383,307,credit_last,4
215,9,7,-0.08709481202215556,0.8461745637361029,0,76,10,glass_last,4
1885,136,7,-0.015752653162590287,0.9571051341122008,125,463,140,cannabis_last,3
1318,95,9,0.9816116247390564,0.9999973806969114,0,147,146,g1318-95-9_last,4
5946,47,2,0.9840779860696448,1.0,0,2973,2973,g5946-47-2_last,0
990,13,11,-0.0035013157481919785,1.0000000000000002,2,90,90,vowel_last,4
249,35,14,0.12664985685135186,0.9242820816468356,17,40,9,soybean_last,4
1885,136,7,0.04887426277371098,0.4928890364662297,125,1429,39,meth_last,3
10000,107,2,-0.009939230572675671,0.7963681222712868,101,7592,2408,income_last,2
885,41,6,-0.09833256664446964,0.8489583639393357,40,264,20,politics_last,4
1885,136,7,0.03524684583859549,0.7210359861311073,125,982,4,mushrooms_last,3
9636,40,6,0.039095791349188266,0.2668151868172163,0,8610,51,unbalanced9636-40-6_last,2
150,4,3,0.5032506980665505,1.0,0,50,50,iris_last,4
1885,136,7,0.05762381832353496,0.3354519362868867,125,1605,13,heroine_last,3
3823,64,10,0.17409701389125326,0.9999625603181984,3,389,376,optdigits_last,3
756,754,2,0.20446468427321834,0.8175072881213616,1,564,192,speech_last,4
1885,136,7,0.03185974875808308,0.7684871181885835,125,976,61,amphet_last,3
1479,8,10,-0.0010697266352129122,0.7779998900028876,1,463,20,yeast_last,4
4435,36,6,0.17241681241791787,0.9568360694788908,0,1072,415,sat_last,3
209,19,7,0.13533645475773814,0.9999644198899864,1,30,29,segmentation_last,4
10000,13,3,0.3410421261802678,0.8384463511832876,0,4998,850,sky_last,1
1140,68,6,0.0008434703779427492,0.2608156467037939,0,1021,4,unbalanced1140-68-6_last,3
1885,136,7,0.006911834288640972,0.5187275474904443,125,1305,3,amyl_last,3
1941,27,7,-0.3270252544235909,0.8587052614300601,2,673,55,plates_last,3
186,272,2,0.07235513606044483,0.9629004147713268,236,114,72,sharkattack_last,4
1885,136,7,-0.06769852922363083,0.4738440239122158,125,1385,10,caff_last,3
7494,16,10,0.19281249148303795,0.9996517475117778,0,780,719,pendigits_last,0
1885,136,7,0.04307148649821503,0.6963193991702504,125,1069,13,lsd_last,3
10000,64,4,-0.06899189361840204,0.9999904295681691,0,2520,2486,emg_last,1
6576,46,2,0.982736782420965,1.0,0,3288,3288,g6576-46-2_last,0
5473,10,5,-0.33874835355443805,0.2736789426275624,0,4913,28,pageblocks_last,0
1885,136,7,0.034639610673705884,0.6774343507256939,125,1094,29,legalh_last,3
1885,136,7,0.036846854841747684,0.7054792808190494,125,1038,19,coke_last,3
1885,136,7,-0.04231237309549495,0.7745045013509939,125,759,34,alcohol_last,3
1885,136,7,0.007142065261462553,0.7665088293926209,125,1000,84,benzos_last,3
2827,95,4,0.9813721187736268,0.9999998645788016,0,707,706,g2827-95-4_last,3
6118,51,6,-0.10187968282918043,0.8897641870726121,0,2554,486,theorem_last,0
9280,65,2,0.17656363296652042,1.0,56,4640,4640,banking_last,5
1885,136,7,-0.028624732275573918,0.9118480440608986,125,610,108,nicotine_last,3
1885,136,7,0.0375076164839676,0.4224287322373519,125,1490,4,katemine_last,3
8725,53,8,-0.01661692824129653,0.24432567733434515,0,7767,26,unbalanced8725-53-8_last,2
569,30,2,0.5136967682373823,0.95263512240186,0,357,212,cancer_last,4
10000,58,2,0.0033864592065888017,0.8906175928719033,0,6922,3078,brokenmachine_last,2
5394,89,5,-0.011046504537224763,0.28951054202328985,0,4821,53,unbalanced5394-89-5_last,0
10000,8,2,0.2618423097053058,0.4417879802016325,0,9084,916,pulsar_last,2
1885,136,7,0.010348241528535264,0.2981251144198989,125,1627,2,crack_last,3
1885,136,7,0.01292672747803166,0.4261413366951253,125,1455,7,vsa_last,3
