,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.23485848979465979,0.12680745005747332,0.03566917454900029,0.07158827471170066,0.22037167045166223,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.2909199696498249,0.12558939984963435,0.03232578021426587,0.07783439328557373,0.2803042211506904,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9785822366522228,0.012786185975017456,0.0009087805771118874,0.002772850014309458,0.9780485396754482,0.0,0.0,0.0,0.0,0.0
elastic_net,0.11577852741915792,0.15770472107868497,0.0408560623228418,0.1447910403179283,0.1023084012991859,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.6032666676619829,0.029904250386458366,0.01909359513040745,0.0035425301592562743,0.5932050023215032,0.0,0.0,0.0,0.0,0.0
huber,-0.20351748496451644,0.15651121003541024,0.05758355541978451,0.10290619649891294,-0.22829714348130897,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.20619139617135057,0.17949604189863083,0.0564712962033345,0.15073656358948187,-0.24356892438223499,0.0,0.0,0.0,0.0,0.0
lasso,0.05834173180422875,0.16655173717739963,0.043677293070898335,0.15950047813578144,0.040730322770561656,0.0,0.0,0.0,0.0,0.0
lasso_lars,1.1102230246251566e-17,0.1715505334978813,0.046600230062893905,0.15112272381708772,-0.019404235388862913,0.0,0.0,0.0,0.0,0.0
linear,0.2917861533105931,0.12525857276166136,0.032239816946347546,0.07300413818507673,0.2806433636027462,0.0,0.0,0.0,0.0,0.0
linear_svr,-116.34681767236171,1.0053646021715523,5.881596177159951,0.2541363256111343,-128.43172374345426,0.0,0.0,0.0,0.0,0.0
mlp,-376340.88107694976,55.84074089635611,19264.843245719854,27.87665088141827,-470318.9969458895,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9468801882060399,0.017093827072999362,0.0022641799786422435,0.003613382086741004,0.9458644994075541,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.24582441712077854,0.12731031547859734,0.03519563246833328,0.07044579333220936,0.23185310051920144,0.0,0.0,0.0,0.0,0.0
ransac,-4.972188658577634,0.2390006836073107,0.29573876326983123,0.04310778664296237,-5.361077899837538,0.0,0.0,0.0,0.0,0.0
ridge,0.2922192613217732,0.1255389462984464,0.032274968483289375,0.07896458992318982,0.2816256734780983,0.0,0.0,0.0,0.0,0.0
svr,0.8292627906573704,0.08105160845974371,0.00829053204688604,0.08932423449518093,0.8100901863566689,0.0,0.0,0.0,0.0,0.0
theil_sen,-0.2649631196509308,0.14175300411688274,0.06147778357835306,0.05518894406095746,-0.30351356094597626,0.0,0.0,0.0,0.0,0.0
