,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.26504863045277377,0.1256230844708344,0.029090248995668356,0.07703727479191849,0.23238431960568903,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.5265251068856893,0.09680686552408309,0.018988435392829836,0.06435614148586424,0.5096679540260837,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9832896307996078,0.01143770828258734,0.0006498632143527673,0.005012863648277588,0.9826338569682462,0.0,0.0,0.0,0.0,0.0
elastic_net,0.4287071335538467,0.11170432263012595,0.02304055602895911,0.0836527046858889,0.40138097010855456,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9450826115996469,0.01585867401677941,0.0022404440368806794,0.0051690785155264875,0.9431790011016824,0.0,0.0,0.0,0.0,0.0
huber,0.22161377405123933,0.12235078658758458,0.031220509961528208,0.07174788338429297,0.1848982059583179,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.41740996971832944,0.11565243525411806,0.023414399312509247,0.089072916464028,0.39964689451168783,0.0,0.0,0.0,0.0,0.0
lasso,0.4205239664002228,0.11256484249009406,0.023385913148998523,0.08578095499544311,0.3920795854280341,0.0,0.0,0.0,0.0,0.0
lasso_lars,0.0,0.16815892072287061,0.040318905585853285,0.13676063750543097,-0.058742938900216445,0.0,0.0,0.0,0.0,0.0
linear,0.5274524943933695,0.09580231730150361,0.018905712710905704,0.057150598108643,0.5114634807556747,0.0,0.0,0.0,0.0,0.0
linear_svr,-196.9483195269319,1.909554178460087,12.329165429574525,1.0532530668170197,-300.87939499497725,0.0,0.0,0.0,0.0,0.0
mlp,-538342.4933236704,95.38666123349432,28668.891189144757,54.60276342616787,-851768.7924369447,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9843137275666173,0.010613922543256427,0.0006527763303515415,0.004638592030795743,0.9835147158664868,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.3162612356806659,0.11788889132923948,0.027888309097994494,0.07973240459664466,0.2756423561394212,0.0,0.0,0.0,0.0,0.0
ransac,-3.570282830904774,0.14727627844720728,0.15834883238833108,0.05004348299842583,-3.7792660882149383,0.0,0.0,0.0,0.0,0.0
ridge,0.5269292197717835,0.09701246398488547,0.018987846942934088,0.06610716153173578,0.5096868284927867,0.0,0.0,0.0,0.0,0.0
svr,0.8257615217301947,0.0772876402576516,0.006642168019958648,0.08739123883468161,0.8196031660461441,0.0,0.0,0.0,0.0,0.0
theil_sen,-0.139663795832046,0.14189564329069823,0.04325680883575939,0.08094717044719377,-0.16488706020307517,0.0,0.0,0.0,0.0,0.0
