,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
<<<<<<< HEAD
ransac,-4.116578379127046,0.23430511127899098,0.658256506446928,0.06320453656339246,-4.386914971145398,0.0,0.0,0.0,0.0,0.0
huber,0.253779230359178,0.17951770128043898,0.09558903878198553,0.11900487569887408,0.18694784589463492,0.0,0.0,0.0,0.0,0.0
theil_sen,-1.8038047456879842,0.23303697468385906,0.3581052784326024,0.09044269196250278,-1.91706462984127,0.0,0.0,0.0,0.0,0.0
linear,0.6277967416781054,0.15760767262650327,0.04487225623487464,0.1284065962080073,0.6167101482873629,0.0,0.0,0.0,0.0,0.0
ard,0.5016965185642968,0.18044103879005258,0.05947418682521086,0.16067664134421014,0.48839845961438133,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.4118874040697428,0.22787634212173816,0.07161017275590462,0.23358420042705808,0.3874853115246711,0.0,0.0,0.0,0.0,0.0
elastic_net,0.3807462547948415,0.22948832290566692,0.07456251555305911,0.21354871187036045,0.37189949966108043,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.6269859396435642,0.1583727148853873,0.044938393443629196,0.12983193743673216,0.6160859338743755,0.0,0.0,0.0,0.0,0.0
lasso_lars,-1.1102230246251566e-17,0.32575401793813413,0.12362968266944714,0.33148265744068806,-0.017424583978168106,0.0,0.0,0.0,0.0,0.0
lasso,0.3659329046295037,0.2334069675149597,0.07654131598329512,0.22035628578943203,0.3573201910307301,0.0,0.0,0.0,0.0,0.0
ridge,0.626281473090185,0.15925850045786266,0.04499900449549907,0.13260663071618667,0.6155377051333148,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.918459808262502,0.0329388434556258,0.010225678800536004,0.00758819706571021,0.9146140110327478,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9912286977224338,0.014682592969884861,0.0009842679867125164,0.005015995232752144,0.9910639118187854,0.0,0.0,0.0,0.0,0.0
svr,0.9398084145970579,0.08155702125352446,0.00725389912708353,0.0888140577588165,0.9388369267238655,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9945587436888139,0.013369229335612007,0.0006216965341786616,0.006826605434279931,0.9943806792042447,0.0,0.0,0.0,0.0,0.0
linear_svr,-20.017414028238683,1.0607380523199854,3.26486802039235,0.4857009881574399,-26.1423132348558,0.0,0.0,0.0,0.0,0.0
mlp,-159416.0410615697,91.55890012041147,27637.79840023989,62.0865600843408,-239270.92712128867,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.6294932276625931,0.15905713310079073,0.04464707536728184,0.13312306057890258,0.6187083113701503,0.0,0.0,0.0,0.0,0.0
=======
ard,0.28033082468485687,0.2055244288188891,0.06783667477420333,0.20149700490763736,0.2674956909854222,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.45961288178507714,0.17865346207780644,0.051038226194819715,0.15625441180741115,0.4468254406293955,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9903221447866288,0.0157191047111569,0.0008574129650892965,0.006683593213938297,0.9901081310027816,0.0,0.0,0.0,0.0,0.0
elastic_net,0.2076137065337668,0.2323329924802421,0.07432132190196483,0.21892395701284745,0.1900116910725759,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.8789101852426715,0.03490017813846521,0.012945363173921504,0.010255043764578569,0.8754790920314683,0.0,0.0,0.0,0.0,0.0
huber,0.21314880464879254,0.17640494249795247,0.0807496281715736,0.12252661591731875,0.1427891431592005,0.0,0.0,0.0,0.0,0.0
kernel_ridge,0.4627032719369752,0.17965624816537296,0.050772244644319495,0.15927218971293322,0.4496208331543056,0.0,0.0,0.0,0.0,0.0
lasso,0.1874460000945819,0.23907261083767178,0.07594789096333834,0.22253358512856874,0.17013729045976236,0.0,0.0,0.0,0.0,0.0
lasso_lars,-3.3306690738754695e-17,0.2826092058859647,0.09320962350323898,0.27674199234244534,-0.01998513460054043,0.0,0.0,0.0,0.0,0.0
linear,0.4623485047629533,0.17559021629481594,0.050769663063781265,0.14834423771132754,0.450658369755956,0.0,0.0,0.0,0.0,0.0
linear_svr,-36.50813977346063,1.1589866005962504,5.022102488820558,0.5899629531886983,-53.60277382335302,0.0,0.0,0.0,0.0,0.0
mlp,-129549.07043454311,53.35505106747379,16212.450286965057,29.659415544455317,-179181.26853183884,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9924318041346203,0.01447027064538874,0.0006601367216283993,0.007123833262605806,0.9922405010582052,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.26411758396447094,0.21323706771923887,0.06962571160861039,0.20483147130182405,0.24635820739556782,0.0,0.0,0.0,0.0,0.0
ransac,-9.193331870280423,0.3128215506558735,0.9908773506327506,0.05601536106291778,-9.987097272750098,0.0,0.0,0.0,0.0,0.0
ridge,0.45912606654829125,0.1798953304341112,0.051095981284482686,0.15892678247797143,0.44594491627006877,0.0,0.0,0.0,0.0,0.0
svr,0.9254043178719042,0.07927494212990585,0.006933773503609823,0.08522469178734741,0.9231621758646067,0.0,0.0,0.0,0.0,0.0
theil_sen,-3.439721910320375,0.28005731251672916,0.4102748688704712,0.07447260889246426,-3.6529129655902097,0.0,0.0,0.0,0.0,0.0
>>>>>>> 5a8c7caf2582436288195431f43a84dd059ca1f9
