,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.16935900433919704,0.12926072242803652,0.03168093686333458,0.09320525408872009,0.16345785050569603,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.3753392988986378,0.11307928253184414,0.02374947593137917,0.07092207259950578,0.36694234851141977,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9820484261974851,0.00945521067780361,0.0006560091369789334,0.003113712006557984,0.9816553168817224,0.0,0.0,0.0,0.0,0.0
elastic_net,0.14211596777056082,0.14206539717001548,0.03275653499467441,0.11316743497092255,0.12722233534897548,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9688748099314152,0.012113974250026385,0.001134375241390874,0.002874236570214378,0.9675134366451111,0.0,0.0,0.0,0.0,0.0
huber,-0.35569271766007715,0.1541710739884552,0.052018776976425374,0.10645798059178113,-0.38591990016391403,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.2182751192939138,0.161059340559182,0.046583875850782816,0.1335294737483112,-0.24168164740245382,0.0,0.0,0.0,0.0,0.0
lasso,0.14232339009340192,0.14203325495491217,0.032759931825200136,0.11281431039476286,0.12737660783951857,0.0,0.0,0.0,0.0,0.0
lasso_lars,-8.881784197001253e-17,0.14850564837062472,0.038403265901466865,0.12297082056821348,-0.01714966423116764,0.0,0.0,0.0,0.0,0.0
linear,0.3767891406345009,0.11322074412124712,0.02370185998048307,0.06934525261369619,0.3681804585095608,0.0,0.0,0.0,0.0,0.0
linear_svr,-98.82520753716007,0.808488463640663,3.939526578458954,0.2969162653723867,-108.07660358387216,0.0,0.0,0.0,0.0,0.0
mlp,-792767.9968145803,101.43557072076284,43277.35533741507,55.50542195582259,-1083610.1029897572,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9824327171777065,0.008118074794015407,0.0006878318562114642,0.0028759296409464146,0.9815108895037497,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.059627234555205424,0.14887272951541086,0.03624670107712056,0.12177224574781778,0.042364918484459814,0.0,0.0,0.0,0.0,0.0
ransac,-13.324667042839135,0.2685352956899562,0.5376265646238079,0.03218384977451107,-14.042710077658862,0.0,0.0,0.0,0.0,0.0
ridge,0.36984013358671,0.11394238902570308,0.02395328904328805,0.0761391175722398,0.36150771090150285,0.0,0.0,0.0,0.0,0.0
svr,0.8436919725076812,0.07233883130079911,0.006411716835668947,0.08468234346427345,0.8262379214209978,0.0,0.0,0.0,0.0,0.0
theil_sen,-2.94925300146902,0.18451889121805562,0.15292057532454664,0.04721438124638757,-3.0926713893631463,0.0,0.0,0.0,0.0,0.0
