,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.4308663454585579,0.12976517123214532,0.035423629075558315,0.07971404995107,0.42211173033248395,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.47435504478482804,0.12150993561499383,0.03264103486810367,0.07060118715822995,0.4648721191087487,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9906493501944966,0.009414896235628542,0.0005327121999957608,0.0029171124761624484,0.9905542363710913,0.0,0.0,0.0,0.0,0.0
elastic_net,0.21810393854320126,0.16954886766671373,0.047788532412273946,0.14726318588164314,0.20952539663336672,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9781381788232985,0.013521871771998543,0.0012125225386519461,0.004477730887233254,0.9779043497357481,0.0,0.0,0.0,0.0,0.0
huber,-0.0856593016814844,0.1795589353663094,0.06876146365894995,0.13191534134646687,-0.09388732116120668,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.007794094268847129,0.1938489534391019,0.06213214390263662,0.16257365836074977,-0.023775438081672696,0.0,0.0,0.0,0.0,0.0
lasso,0.21875924573986816,0.16966504732082954,0.047736796602765294,0.14769633117463035,0.21037161915011,0.0,0.0,0.0,0.0,0.0
lasso_lars,3.3306690738754695e-17,0.20889193747331883,0.06156210615089832,0.2006030873857214,-0.021685386966368236,0.0,0.0,0.0,0.0,0.0
linear,0.475437816949441,0.12051625253944705,0.03257700496811877,0.07134039687977141,0.46584269396768674,0.0,0.0,0.0,0.0,0.0
linear_svr,-123.13446898189575,1.4902379863191193,12.85845832644963,0.5201475408917515,-194.66914020566367,0.0,0.0,0.0,0.0,0.0
mlp,-201889.47375301743,62.25932905479649,18557.338283143283,35.80982209988943,-294255.83920763544,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9903844577678163,0.008294889193890414,0.0005461031748111622,0.0028609192958079345,0.9901582019468776,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.25225414114490874,0.15784005916084615,0.04626115633797153,0.1019922619816892,0.2422377512866937,0.0,0.0,0.0,0.0,0.0
ransac,-2.6458725904507783,0.19660087585783403,0.25951826634620534,0.03916215480035166,-2.818158036605099,0.0,0.0,0.0,0.0,0.0
ridge,0.46950630488409767,0.12469438906953276,0.03292835196509121,0.06985617237678646,0.460111116496428,0.0,0.0,0.0,0.0,0.0
svr,0.8834665715706904,0.08062669757967882,0.007431615044114168,0.09285807596671589,0.8729737431372235,0.0,0.0,0.0,0.0,0.0
theil_sen,-0.34349387636724343,0.1721489459508116,0.0869385377780648,0.06365543580019227,-0.4136775700361329,0.0,0.0,0.0,0.0,0.0
