,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.1540327986632363,0.14052015005707003,0.029640345488211477,0.11771165902490535,0.14522702938284987,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.33465452474711244,0.12461456353647334,0.02344521485840315,0.100765730684456,0.32504652840301507,0.0,0.0,0.0,0.0,0.0
decision_tree,0.975229325606666,0.012231494713739213,0.0008960235335083968,0.005035379085429443,0.9747225693473134,0.0,0.0,0.0,0.0,0.0
elastic_net,0.08368656228643521,0.14900592485660516,0.03249857874526092,0.12623735949242096,0.06950891808553371,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9472319669039304,0.016469761160498433,0.0019177467644439007,0.005292658607951572,0.9459224287685724,0.0,0.0,0.0,0.0,0.0
huber,-0.43606709037114105,0.16195727329037982,0.054666544190326814,0.11965704837431881,-0.508570488620449,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.03269998863670339,0.14835162184305506,0.036744357086621895,0.12223243020438075,-0.06203711267722021,0.0,0.0,0.0,0.0,0.0
lasso,0.08399722464877511,0.14884643259474262,0.03249244172050347,0.12433709218756024,0.06996202125821946,0.0,0.0,0.0,0.0,0.0
lasso_lars,4.4408920985006264e-17,0.15599927452578824,0.035223142384077484,0.1353379217843726,-0.011892955878368094,0.0,0.0,0.0,0.0,0.0
linear,0.3367849051105126,0.12426561308381397,0.023369193409560046,0.10147670927420413,0.32729157657281416,0.0,0.0,0.0,0.0,0.0
linear_svr,-294.15449360474275,1.7046921751579933,18.56192480125332,0.8428726241080682,-494.5638652162569,0.0,0.0,0.0,0.0,0.0
mlp,-687558.4718760371,89.41067060310517,32868.81268564714,58.038084361192396,-1013725.7097389402,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9708092081600617,0.01217355805719718,0.0011361939355272817,0.004710170617367418,0.9694245843124507,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.09711900519340863,0.14224093826647227,0.03178621938005629,0.11428467107019127,0.08480959550862943,0.0,0.0,0.0,0.0,0.0
ransac,-13.36976589244395,0.22948502752194172,0.47120808036714507,0.03521138593867404,-14.134952282350799,0.0,0.0,0.0,0.0,0.0
ridge,0.3281265803155947,0.12576397633226669,0.023676583856492368,0.10167490199285253,0.31831156014207246,0.0,0.0,0.0,0.0,0.0
svr,0.8165751409622398,0.07372572181641668,0.00651694614131307,0.07846579251921283,0.8115803327069491,0.0,0.0,0.0,0.0,0.0
theil_sen,-3.5162179707546826,0.19948980921943762,0.15061863347272092,0.07112328605431197,-3.590387384677947,0.0,0.0,0.0,0.0,0.0
