,mean,mean,mean,mean,mean,std,std,std,std,std
,explained_variance,mean_absolute,mean_square,median_absolute,r2,explained_variance,mean_absolute,mean_square,median_absolute,r2
ard,0.4518202916769235,0.12982125452892931,0.03526696311057388,0.08364673282862095,0.44537530662958513,0.0,0.0,0.0,0.0,0.0
bayesian_ridge,0.4949764113298942,0.12053556851468634,0.032299136066247666,0.0702177579107424,0.48655916045746883,0.0,0.0,0.0,0.0,0.0
decision_tree,0.9929947627404939,0.008215043656158088,0.0004293603012018884,0.003292480813576812,0.9929459848390272,0.0,0.0,0.0,0.0,0.0
elastic_net,0.21743533160082867,0.17336228857248995,0.049271449778396655,0.15601306924131153,0.2088254453727421,0.0,0.0,0.0,0.0,0.0
gaussian_process,0.9865421348780494,0.012038167308548758,0.0008046316430087212,0.004115674984274062,0.9862056488212392,0.0,0.0,0.0,0.0,0.0
huber,-0.11897659279839023,0.18733075448404085,0.073276252213748,0.1449145288530806,-0.1389025245616984,0.0,0.0,0.0,0.0,0.0
kernel_ridge,-0.0007960233755209822,0.19669855540794393,0.06347694327805163,0.16600060958268686,-0.016242362139174616,0.0,0.0,0.0,0.0,0.0
lasso,0.21767713298964964,0.17355863186141543,0.04924213095826768,0.15680353949140485,0.20923349067464975,0.0,0.0,0.0,0.0,0.0
lasso_lars,6.661338147750939e-17,0.21421436590656412,0.06344733045966663,0.2104110089459416,-0.022028840080989022,0.0,0.0,0.0,0.0,0.0
linear,0.4959784255496432,0.1195726592094731,0.03223919514442926,0.07105257625454828,0.48747643831127957,0.0,0.0,0.0,0.0,0.0
linear_svr,-91.87297329827187,1.206993721235057,6.9505861243110285,0.4927591423923399,-110.06151435259203,0.0,0.0,0.0,0.0,0.0
mlp,-522952.6418389467,127.29528339879532,55594.941302773914,69.05608127906969,-822801.7633006901,0.0,0.0,0.0,0.0,0.0
nu_svr,0.9926261704932596,0.0071095911245811355,0.00043370260912498055,0.0029933205202435447,0.9924740524990237,0.0,0.0,0.0,0.0,0.0
orthogonal_matching,0.2590366725876576,0.1604247698482682,0.047210691428319476,0.10266976412297416,0.24960197945113868,0.0,0.0,0.0,0.0,0.0
ransac,-1.057270959926549,0.16159277448398662,0.14282328813936812,0.04530580671071042,-1.1749111892559967,0.0,0.0,0.0,0.0,0.0
ridge,0.48949830909393954,0.12432132830996005,0.032632651792835296,0.06913740577996494,0.48114093942656383,0.0,0.0,0.0,0.0,0.0
svr,0.8867720238961907,0.08160193152185084,0.007420390074623575,0.09224871497405496,0.8775883635465329,0.0,0.0,0.0,0.0,0.0
theil_sen,-0.4079506817929216,0.17400162993894788,0.0949106633839189,0.062211160909584284,-0.5021107606164794,0.0,0.0,0.0,0.0,0.0
